socio1._.In which country do you work?,disa1._.Do you have a condition that is defined as a disability by your country?
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Germany,N/A
Greece,N/A
Greece,N/A
Greece,N/A
Iceland,N/A
Iceland,N/A
India,N/A
Israel,N/A
Israel,N/A
Israel,N/A
Italy,N/A
Italy,N/A
Italy,N/A
Italy,N/A
Italy,N/A
Italy,N/A
Italy,N/A
Italy,N/A
Italy,N/A
Italy,N/A
Italy,N/A
Japan,N/A
Liechtenstein,N/A
Luxembourg,N/A
Luxembourg,N/A
Luxembourg,N/A
Mexico,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
Netherlands,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
New Zealand,N/A
Norway,N/A
Norway,N/A
Norway,N/A
Norway,N/A
Norway,N/A
Norway,N/A
Norway,N/A
Norway,N/A
Norway,N/A
Norway,N/A
Norway,N/A
Norway,N/A
Pakistan,N/A
Poland,N/A
Poland,N/A
Portugal,N/A
Portugal,N/A
Portugal,N/A
Puerto Rico,N/A
Saint Barthélemy,N/A
Saudi Arabia,N/A
Singapore,N/A
South Africa,N/A
South Africa,N/A
Spain,N/A
Spain,N/A
Spain,N/A
Spain,N/A
Spain,N/A
Spain,N/A
Spain,N/A
Spain,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Sweden,N/A
Switzerland,N/A
Switzerland,N/A
Switzerland,N/A
Switzerland,N/A
Switzerland,N/A
Switzerland,N/A
Switzerland,N/A
Ukraine,N/A
Ukraine,N/A
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,Yes
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United Kingdom of Great Britain and Northern Ireland,No
United Kingdom of Great Britain and Northern Ireland,N/A
United States of America,N/A
United States of America,No
United States of America,N/A
United States of America,Yes
United States of America,No
United States of America,N/A
United States of America,N/A
United States of America,N/A
United States of America,N/A
United States of America,N/A
United States of America,No
United States of America,No
United States of America,Yes
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,No
United States of America,N/A
United States of America,N/A
United States of America,Yes
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,N/A
United States of America,N/A
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,Yes
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,N/A
United States of America,Yes
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,Yes
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,N/A
United States of America,Yes
United States of America,N/A
United States of America,No
United States of America,Yes
United States of America,N/A
United States of America,No
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,Yes
United States of America,Yes
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,N/A
United States of America,N/A
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,No
United States of America,No
United States of America,Yes
United States of America,N/A
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,N/A
United States of America,No
United States of America,No
United States of America,N/A
United States of America,No
United States of America,No
United States of America,No
United States of America,No
United States of America,No
Uruguay,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
,N/A
