socio1._.In which country do you work?,socio2._.Please select your gender,socio2[other]._.Please select your gender [Other]
Nigeria,Male,
Norway,Female,
Norway,Male,
Norway,Male,
Norway,,
Norway,Male,
Norway,Male,
Poland,Male,
Portugal,Male,
Russian Federation,,
Saudi Arabia,Male,
South Africa,Male,
South Africa,Male,
South Africa,Male,
South Africa,Male,
South Africa,Male,
South Africa,Female,
South Africa,Female,
South Africa,Male,
South Africa,,
South Africa,Male,
South Africa,,
South Africa,Male,
South Africa,Male,
South Africa,Male,
South Africa,Male,
South Africa,Male,
South Africa,,
South Africa,Male,
South Africa,Male,
South Africa,,
South Africa,Male,
South Africa,Male,
South Africa,Male,
Spain,Male,
Spain,Male,
Spain,Male,
Spain,Male,
Sweden,,
Sweden,,
Switzerland,Male,
Switzerland,Male,
Turkey,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Female,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,,
United Kingdom of Great Britain and Northern Ireland,Female,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Female,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Female,
United Kingdom of Great Britain and Northern Ireland,Female,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Female,
United Kingdom of Great Britain and Northern Ireland,Female,
United Kingdom of Great Britain and Northern Ireland,,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Female,
United Kingdom of Great Britain and Northern Ireland,Male,agender/non-binary
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
United Kingdom of Great Britain and Northern Ireland,Male,
