startdate._.Date started,socio4qde._.Please select the range of your salary,socio4qnl._.Please select the range of your salary,socio4quk._.Please select the range of your salary,socio4qus._.Please select the range of your salary,socio4qzaf._.Please select the range of your salary,socio4qnzl._.Please select the range of your salary,socio4qaus._.Please select the range of your salary
2018-10-22 09:37:17,Between 44.000 and 49.999 EUR,,,,,,
2018-10-22 10:00:36,,,,,,,
2018-10-22 10:13:09,Between 55.000 and 65.999 EUR,,,,,,
2018-10-22 10:29:50,,,,,,,
2018-10-22 10:43:49,Between 44.000 and 49.999 EUR,,,,,,
2018-10-22 10:45:12,Between 33.000 and 38.499 EUR,,,,,,
2018-10-22 10:48:20,Prefer not to say,,,,,,
2018-10-22 11:12:28,Between 44.000 and 49.999 EUR,,,,,,
2018-10-22 11:15:29,Between 33.000 and 38.499 EUR,,,,,,
2018-10-22 11:20:56,Between 55.000 and 65.999 EUR,,,,,,
2018-10-22 11:37:55,Between 38.500 and 43.999 EUR,,,,,,
2018-10-22 12:59:26,,,"≥ £43,325 and < £58,172",,,,
2018-10-22 14:20:32,Between 55.000 and 65.999 EUR,,,,,,
2018-10-22 15:38:17,,,"≥ £32,277 and < £43,325",,,,
2018-10-22 17:45:55,,,,,,,
2018-10-22 18:16:00,Between 50.000 and 54.999 EUR,,,,,,
2018-10-22 18:24:47,,,,,,,
2018-10-22 18:34:50,Between 33.000 and 38.499 EUR,,,,,,
2018-10-22 18:50:59,Between 50.000 and 54.999 EUR,,,,,,
2018-10-22 20:09:46,Less than 27.499 EUR,,,,,,
2018-10-22 21:42:51,Between 33.000 and 38.499 EUR,,,,,,
2018-10-22 22:29:37,Between 55.000 and 65.999 EUR,,,,,,
2018-10-23 02:14:18,Between 33.000 and 38.499 EUR,,,,,,
2018-10-23 05:16:39,,,,,,"≥ NZD 85,000 and < NZD 105,000",
2018-10-23 06:24:24,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-10-23 08:12:56,Between 50.000 and 54.999 EUR,,,,,,
2018-10-23 08:25:35,Between 38.500 and 43.999 EUR,,,,,,
2018-10-23 09:04:13,,,,,,,
2018-10-23 09:17:25,Between 27.500 and 32.999 EUR,,,,,,
2018-10-23 09:24:00,Between 55.000 and 65.999 EUR,,,,,,
2018-10-23 09:28:09,Between 44.000 and 49.999 EUR,,,,,,
2018-10-23 09:30:38,Between 55.000 and 65.999 EUR,,,,,,
2018-10-23 09:51:31,Between 44.000 and 49.999 EUR,,,,,,
2018-10-23 09:56:48,Less than 27.499 EUR,,,,,,
2018-10-23 10:09:46,Between 55.000 and 65.999 EUR,,,,,,
2018-10-23 10:12:13,Prefer not to say,,,,,,
2018-10-23 10:13:53,,,,,,,
2018-10-23 10:24:44,Less than 27.499 EUR,,,,,,
2018-10-23 10:26:56,Between 55.000 and 65.999 EUR,,,,,,
2018-10-23 10:29:55,Between 55.000 and 65.999 EUR,,,,,,
2018-10-23 10:34:00,Between 50.000 and 54.999 EUR,,,,,,
2018-10-23 10:38:46,Between 44.000 and 49.999 EUR,,,,,,
2018-10-23 10:39:51,Between 38.500 and 43.999 EUR,,,,,,
2018-10-23 10:43:33,Between 55.000 and 65.999 EUR,,,,,,
2018-10-23 10:56:01,,,,,,,
2018-10-23 10:57:23,Between 27.500 and 32.999 EUR,,,,,,
2018-10-23 10:59:45,,,,,,,
2018-10-23 11:01:18,Between 50.000 and 54.999 EUR,,,,,,
2018-10-23 11:01:28,,,,,,,
2018-10-23 11:01:47,Between 55.000 and 65.999 EUR,,,,,,
2018-10-23 11:03:32,Between 38.500 and 43.999 EUR,,,,,,
2018-10-23 11:06:19,Between 50.000 and 54.999 EUR,,,,,,
2018-10-23 11:07:09,,,,,,,
2018-10-23 11:08:39,Between 38.500 and 43.999 EUR,,,,,,
2018-10-23 11:09:23,Less than 27.499 EUR,,,,,,
2018-10-23 11:26:01,Between 66.000 and 76.999 EUR,,,,,,
2018-10-23 11:27:04,,,,,,,
2018-10-23 11:28:09,Between 50.000 and 54.999 EUR,,,,,,
2018-10-23 11:28:59,Less than 27.499 EUR,,,,,,
2018-10-23 11:31:02,Between 55.000 and 65.999 EUR,,,,,,
2018-10-23 11:34:31,Between 66.000 and 76.999 EUR,,,,,,
2018-10-23 11:46:07,Between 27.500 and 32.999 EUR,,,,,,
2018-10-23 11:46:09,Between 50.000 and 54.999 EUR,,,,,,
2018-10-23 11:46:21,,,,,,,
2018-10-23 11:47:05,,,,,,,
2018-10-23 11:49:12,Prefer not to say,,,,,,
2018-10-23 12:01:52,Between 38.500 and 43.999 EUR,,,,,,
2018-10-23 12:13:45,,,,,,,
2018-10-23 12:23:12,Less than 27.499 EUR,,,,,,
2018-10-23 12:32:05,,,,,,,
2018-10-23 12:42:14,Prefer not to say,,,,,,
2018-10-23 12:51:46,Between 55.000 and 65.999 EUR,,,,,,
2018-10-23 13:05:23,Less than 27.499 EUR,,,,,,
2018-10-23 13:06:56,Between 50.000 and 54.999 EUR,,,,,,
2018-10-23 13:09:20,Between 44.000 and 49.999 EUR,,,,,,
2018-10-23 13:13:59,,,,,,,
2018-10-23 13:25:25,Between 44.000 and 49.999 EUR,,,,,,
2018-10-23 13:34:40,Less than 27.499 EUR,,,,,,
2018-10-23 13:42:55,Prefer not to say,,,,,,
2018-10-23 13:44:37,Less than 27.499 EUR,,,,,,
2018-10-23 13:53:48,Prefer not to say,,,,,,
2018-10-23 14:12:41,Prefer not to say,,,,,,
2018-10-23 14:25:59,Between 66.000 and 76.999 EUR,,,,,,
2018-10-23 14:29:01,Between 44.000 and 49.999 EUR,,,,,,
2018-10-23 14:32:55,,,,,,,
2018-10-23 15:07:10,Between 44.000 and 49.999 EUR,,,,,,
2018-10-23 15:09:05,Between 55.000 and 65.999 EUR,,,,,,
2018-10-23 15:26:14,Prefer not to say,,,,,,
2018-10-23 15:32:25,Between 50.000 and 54.999 EUR,,,,,,
2018-10-23 16:39:20,,,,,,,
2018-10-23 16:40:21,Between 44.000 and 49.999 EUR,,,,,,
2018-10-23 17:14:22,Between 55.000 and 65.999 EUR,,,,,,
2018-10-23 17:28:33,Between 50.000 and 54.999 EUR,,,,,,
2018-10-23 18:49:46,Between 77.000 and 109.999 EUR,,,,,,
2018-10-23 20:53:53,Less than 27.499 EUR,,,,,,
2018-10-24 00:25:39,Between 38.500 and 43.999 EUR,,,,,,
2018-10-24 07:29:59,Between 55.000 and 65.999 EUR,,,,,,
2018-10-24 07:35:23,Less than 27.499 EUR,,,,,,
2018-10-24 08:08:59,Prefer not to say,,,,,,
2018-10-24 08:28:04,Between 44.000 and 49.999 EUR,,,,,,
2018-10-24 09:15:02,Between 66.000 and 76.999 EUR,,,,,,
2018-10-24 09:39:18,Between 66.000 and 76.999 EUR,,,,,,
2018-10-24 09:52:25,,,,,,,
2018-10-24 10:04:57,Between 50.000 and 54.999 EUR,,,,,,
2018-10-24 10:14:07,Between 27.500 and 32.999 EUR,,,,,,
2018-10-24 10:23:25,,,,,,,
2018-10-24 10:36:47,Prefer not to say,,,,,,
2018-10-24 10:38:12,Between 44.000 and 49.999 EUR,,,,,,
2018-10-24 10:54:15,,,,,,,
2018-10-24 11:10:46,Prefer not to say,,,,,,
2018-10-24 11:16:30,Less than 27.499 EUR,,,,,,
2018-10-24 11:42:21,Between 44.000 and 49.999 EUR,,,,,,
2018-10-24 12:52:14,Between 38.500 and 43.999 EUR,,,,,,
2018-10-24 13:00:06,Between 27.500 and 32.999 EUR,,,,,,
2018-10-24 13:03:30,Between 38.500 and 43.999 EUR,,,,,,
2018-10-24 13:34:57,,,,,,,
2018-10-24 13:36:10,,,,,,,
2018-10-24 14:20:24,Between 38.500 and 43.999 EUR,,,,,,
2018-10-24 14:22:17,Between 55.000 and 65.999 EUR,,,,,,
2018-10-24 14:47:46,Between 77.000 and 109.999 EUR,,,,,,
2018-10-24 15:19:06,Between 33.000 and 38.499 EUR,,,,,,
2018-10-24 16:25:47,,,,,,,
2018-10-24 16:45:38,,,,,,,
2018-10-24 19:37:31,,Between 55.000 and 65.999 EUR,,,,,
2018-10-24 19:41:44,,,"≥ £43,325 and < £58,172",,,,
2018-10-24 22:19:50,,,,,,"≥ NZD 85,000 and < NZD 105,000",
2018-10-24 22:29:49,,,,,,,
2018-10-24 22:36:09,,,,,,"< NZD 45,000",
2018-10-24 22:41:55,,,,,,"≥ NZD 105,000 and < NZD 120,000",
2018-10-24 22:54:41,Between 77.000 and 109.999 EUR,,,,,,
2018-10-25 01:04:29,,,,,,"≥ NZD 85,000 and < NZD 105,000",
2018-10-25 01:13:42,,,,,,,
2018-10-25 08:45:29,Between 66.000 and 76.999 EUR,,,,,,
2018-10-25 09:54:22,Between 50.000 and 54.999 EUR,,,,,,
2018-10-25 09:54:35,Between 38.500 and 43.999 EUR,,,,,,
2018-10-25 09:54:43,Between 55.000 and 65.999 EUR,,,,,,
2018-10-25 09:55:45,Between 66.000 and 76.999 EUR,,,,,,
2018-10-25 09:57:11,Between 50.000 and 54.999 EUR,,,,,,
2018-10-25 09:57:30,Between 44.000 and 49.999 EUR,,,,,,
2018-10-25 09:58:52,Between 55.000 and 65.999 EUR,,,,,,
2018-10-25 09:59:57,Prefer not to say,,,,,,
2018-10-25 10:01:27,Between 44.000 and 49.999 EUR,,,,,,
2018-10-25 10:02:41,Between 55.000 and 65.999 EUR,,,,,,
2018-10-25 10:05:33,Between 55.000 and 65.999 EUR,,,,,,
2018-10-25 10:12:26,Between 27.500 and 32.999 EUR,,,,,,
2018-10-25 10:12:33,Between 50.000 and 54.999 EUR,,,,,,
2018-10-25 10:19:49,,,,,,,
2018-10-25 10:20:52,Between 55.000 and 65.999 EUR,,,,,,
2018-10-25 10:25:46,Between 38.500 and 43.999 EUR,,,,,,
2018-10-25 10:26:41,Between 50.000 and 54.999 EUR,,,,,,
2018-10-25 10:29:21,,,,,,,
2018-10-25 10:30:03,Between 50.000 and 54.999 EUR,,,,,,
2018-10-25 10:31:44,Between 38.500 and 43.999 EUR,,,,,,
2018-10-25 10:34:07,Between 44.000 and 49.999 EUR,,,,,,
2018-10-25 10:37:06,Between 55.000 and 65.999 EUR,,,,,,
2018-10-25 10:38:11,Between 44.000 and 49.999 EUR,,,,,,
2018-10-25 10:40:45,,,,,,,
2018-10-25 10:45:28,Between 50.000 and 54.999 EUR,,,,,,
2018-10-25 10:49:16,Between 50.000 and 54.999 EUR,,,,,,
2018-10-25 10:59:16,Between 44.000 and 49.999 EUR,,,,,,
2018-10-25 11:03:33,Between 33.000 and 38.499 EUR,,,,,,
2018-10-25 11:04:30,Between 55.000 and 65.999 EUR,,,,,,
2018-10-25 11:11:45,Between 38.500 and 43.999 EUR,,,,,,
2018-10-25 11:18:07,Between 55.000 and 65.999 EUR,,,,,,
2018-10-25 11:18:58,Less than 27.499 EUR,,,,,,
2018-10-25 11:24:16,Between 66.000 and 76.999 EUR,,,,,,
2018-10-25 11:40:46,Between 55.000 and 65.999 EUR,,,,,,
2018-10-25 11:44:02,,,,,,,
2018-10-25 12:12:19,,,,,,,
2018-10-25 12:13:26,Between 38.500 and 43.999 EUR,,,,,,
2018-10-25 12:15:21,Between 77.000 and 109.999 EUR,,,,,,
2018-10-25 12:25:31,Between 38.500 and 43.999 EUR,,,,,,
2018-10-25 13:17:33,Between 66.000 and 76.999 EUR,,,,,,
2018-10-25 13:41:21,Between 50.000 and 54.999 EUR,,,,,,
2018-10-25 13:43:08,,,,,,,
2018-10-25 14:38:21,Between 44.000 and 49.999 EUR,,,,,,
2018-10-25 14:55:20,Between 55.000 and 65.999 EUR,,,,,,
2018-10-25 15:41:49,Between 50.000 and 54.999 EUR,,,,,,
2018-10-25 16:08:29,Between 44.000 and 49.999 EUR,,,,,,
2018-10-25 16:38:15,,,,,,,
2018-10-25 17:53:29,Prefer not to say,,,,,,
2018-10-25 19:25:34,Less than 27.499 EUR,,,,,,
2018-10-25 22:06:25,Between 50.000 and 54.999 EUR,,,,,,
2018-10-26 08:23:31,Between 44.000 and 49.999 EUR,,,,,,
2018-10-26 09:31:50,,,,,,,
2018-10-26 09:38:51,,,,,,,
2018-10-26 10:41:31,Between 50.000 and 54.999 EUR,,,,,,
2018-10-26 14:37:06,Between 55.000 and 65.999 EUR,,,,,,
2018-10-26 15:09:43,,,,"From $50,000 to $69,999",,,
2018-10-26 15:11:48,,,,"From $50,000 to $69,999",,,
2018-10-26 15:26:21,Between 66.000 and 76.999 EUR,,,,,,
2018-10-26 16:27:33,,,,,,,
2018-10-26 22:51:13,,,,,,,
2018-10-27 09:15:12,Between 44.000 and 49.999 EUR,,,,,,
2018-10-27 13:34:38,Between 33.000 and 38.499 EUR,,,,,,
2018-10-27 19:16:39,,,,,Between R 410 461 and R 555 600,,
2018-10-27 20:18:40,Less than 27.499 EUR,,,,,,
2018-10-27 23:31:55,,,,,,,
2018-10-28 00:26:55,,,,"Less than $30,000",,,
2018-10-28 00:29:55,,,,,,,
2018-10-28 12:14:35,,,"≥ £58,172",,,,
2018-10-29 07:06:02,Between 44.000 and 49.999 EUR,,,,,,
2018-10-29 08:27:24,Between 55.000 and 65.999 EUR,,,,,,
2018-10-29 08:33:32,Between 38.500 and 43.999 EUR,,,,,,
2018-10-29 08:35:28,Between 33.000 and 38.499 EUR,,,,,,
2018-10-29 08:44:06,Between 50.000 and 54.999 EUR,,,,,,
2018-10-29 09:06:29,Between 66.000 and 76.999 EUR,,,,,,
2018-10-29 09:50:20,Between 50.000 and 54.999 EUR,,,,,,
2018-10-29 10:46:24,Between 27.500 and 32.999 EUR,,,,,,
2018-10-29 11:03:07,Less than 27.499 EUR,,,,,,
2018-10-29 11:37:20,Between 44.000 and 49.999 EUR,,,,,,
2018-10-29 14:07:37,Prefer not to say,,,,,,
2018-10-29 15:37:25,Prefer not to say,,,,,,
2018-10-30 02:13:40,,,,,,"≥ NZD 65,000 and < NZD 85,000",
2018-10-30 09:38:08,Between 38.500 and 43.999 EUR,,,,,,
2018-10-30 10:44:25,Between 44.000 and 49.999 EUR,,,,,,
2018-10-30 12:13:55,Between 55.000 and 65.999 EUR,,,,,,
2018-10-30 14:13:44,Between 38.500 and 43.999 EUR,,,,,,
2018-10-31 09:50:15,Between 77.000 and 109.999 EUR,,,,,,
2018-10-31 11:32:58,Between 27.500 and 32.999 EUR,,,,,,
2018-10-31 13:58:30,Prefer not to say,,,,,,
2018-10-31 15:47:09,Prefer not to say,,,,,,
2018-11-01 10:09:30,Less than 27.499 EUR,,,,,,
2018-11-01 10:11:05,Prefer not to say,,,,,,
2018-11-01 13:49:30,,,,,,,
2018-11-02 09:31:24,,,,,,,
2018-11-02 12:52:56,Less than 27.499 EUR,,,,,,
2018-11-02 18:17:02,Between 66.000 and 76.999 EUR,,,,,,
2018-11-03 23:26:52,Between 66.000 and 76.999 EUR,,,,,,
2018-11-04 20:26:25,Between 33.000 and 38.499 EUR,,,,,,
2018-11-05 10:39:58,,Between 50.000 and 54.999 EUR,,,,,
2018-11-05 14:34:35,Less than 27.499 EUR,,,,,,
2018-11-05 15:45:55,Prefer not to say,,,,,,
2018-11-05 15:56:35,Prefer not to say,,,,,,
2018-11-05 16:05:32,Between 55.000 and 65.999 EUR,,,,,,
2018-11-05 21:39:37,Prefer not to say,,,,,,
2018-11-05 23:49:32,,,,,,"≥ NZD 105,000 and < NZD 120,000",
2018-11-06 09:14:39,Between 66.000 and 76.999 EUR,,,,,,
2018-11-07 12:21:56,Less than 27.499 EUR,,,,,,
2018-11-07 12:28:51,Between 33.000 and 38.499 EUR,,,,,,
2018-11-07 15:42:43,Between 66.000 and 76.999 EUR,,,,,,
2018-11-07 21:07:34,,,,"From $90,000 to $109,999",,,
2018-11-07 21:25:37,,,,"From $50,000 to $69,999",,,
2018-11-07 21:35:22,,,,"Less than $30,000",,,
2018-11-07 21:46:27,,,,"From $110,000 to $129,999",,,
2018-11-07 21:47:58,,,,"From $110,000 to $129,999",,,
2018-11-07 21:57:52,,,,,,,
2018-11-07 22:03:56,,,,"Less than $30,000",,,
2018-11-07 22:11:56,,,,"From $90,000 to $109,999",,,
2018-11-07 22:21:45,,,,"From $90,000 to $109,999",,,
2018-11-07 22:27:56,,,,"From $70,000 to $89,999",,,
2018-11-07 22:35:30,,,,,,,
2018-11-07 22:38:16,,,,"From $30,000 to $49,999",,,
2018-11-07 22:53:58,,,,Prefer not to say,,,
2018-11-08 00:08:59,,,,,,,
2018-11-08 00:33:58,,,,,,,
2018-11-08 01:26:41,,,,,,,
2018-11-08 04:05:53,,,,"From $110,000 to $129,999",,,
2018-11-08 07:13:34,,,,"From $50,000 to $69,999",,,
2018-11-08 08:49:51,,,,,,,
2018-11-08 08:55:20,Between 50.000 and 54.999 EUR,,,,,,
2018-11-08 09:47:23,,,,"From $50,000 to $69,999",,,
2018-11-08 10:18:12,,,,,,,
2018-11-08 10:28:02,,,,,,,
2018-11-08 11:06:48,,,,,,,
2018-11-08 11:15:27,,,"≥ £32,277 and < £43,325",,,,
2018-11-08 12:04:40,,,,"From $130,000 to $149,999",,,
2018-11-08 12:15:12,,,,"From $110,000 to $129,999",,,
2018-11-08 12:35:40,,,,"More than $150,000",,,
2018-11-08 13:16:58,,,,,,,
2018-11-08 13:45:49,,,,"From $30,000 to $49,999",,,
2018-11-08 14:28:17,Between 50.000 and 54.999 EUR,,,,,,
2018-11-08 14:28:24,Between 77.000 and 109.999 EUR,,,,,,
2018-11-08 14:37:32,Between 66.000 and 76.999 EUR,,,,,,
2018-11-08 14:51:11,,,,,,,
2018-11-08 14:54:07,,,,"Less than $30,000",,,
2018-11-08 15:14:39,,,,"From $70,000 to $89,999",,,
2018-11-08 15:16:08,,,,,,,
2018-11-08 15:25:46,,,,,,,
2018-11-08 15:46:51,,,,"From $70,000 to $89,999",,,
2018-11-08 16:17:22,Between 55.000 and 65.999 EUR,,,,,,
2018-11-08 16:19:38,,,,"From $50,000 to $69,999",,,
2018-11-08 16:35:46,,,,"From $30,000 to $49,999",,,
2018-11-08 16:36:32,,,,,,,
2018-11-08 16:53:52,,,,"From $90,000 to $109,999",,,
2018-11-08 17:03:42,,,,"From $130,000 to $149,999",,,
2018-11-08 17:08:33,,,"≥ £32,277 and < £43,325",,,,
2018-11-08 17:56:17,,,,"From $110,000 to $129,999",,,
2018-11-08 18:19:15,Less than 27.499 EUR,,,,,,
2018-11-08 18:19:31,,,,"From $90,000 to $109,999",,,
2018-11-08 18:26:08,,,,"From $130,000 to $149,999",,,
2018-11-08 18:29:12,,,,"From $30,000 to $49,999",,,
2018-11-08 18:36:44,,,,,,,
2018-11-08 18:40:34,,,,"From $70,000 to $89,999",,,
2018-11-08 18:45:12,,,,"From $50,000 to $69,999",,,
2018-11-08 19:04:28,Between 27.500 and 32.999 EUR,,,,,,
2018-11-08 19:06:32,,,,,,,
2018-11-08 20:24:31,,,,"From $130,000 to $149,999",,,
2018-11-08 20:28:12,,,,,,,
2018-11-08 20:41:12,,,,Prefer not to say,,,
2018-11-08 21:13:50,,,,"From $110,000 to $129,999",,,
2018-11-08 21:25:21,,,,,,,
2018-11-08 22:38:36,,,,"From $70,000 to $89,999",,,
2018-11-08 22:40:06,,,,"From $70,000 to $89,999",,,
2018-11-08 22:51:59,,,,,,,
2018-11-08 22:59:01,Between 50.000 and 54.999 EUR,,,,,,
2018-11-08 23:02:51,,,,"From $110,000 to $129,999",,,
2018-11-08 23:52:00,,,,"From $50,000 to $69,999",,,
2018-11-09 00:11:34,,,,"From $110,000 to $129,999",,,
2018-11-09 00:31:07,,,,,,,
2018-11-09 00:36:13,Between 55.000 and 65.999 EUR,,,,,,
2018-11-09 01:45:40,Between 38.500 and 43.999 EUR,,,,,,
2018-11-09 04:44:38,,,,"From $110,000 to $129,999",,,
2018-11-09 08:52:54,,,,,,,
2018-11-09 09:02:55,,,,,,,
2018-11-09 09:46:58,,,"≥ £24,057 and < £32,277",,,,
2018-11-09 09:52:26,,,"< £18,031",,,,
2018-11-09 09:55:00,Between 55.000 and 65.999 EUR,,,,,,
2018-11-09 10:24:26,,,,,,,
2018-11-09 10:33:49,,,"≥ £32,277 and < £43,325",,,,
2018-11-09 10:45:58,,,"≥ £43,325 and < £58,172",,,,
2018-11-09 11:06:48,,Between 27.500 and 32.999 EUR,,,,,
2018-11-09 11:10:59,,,"≥ £43,325 and < £58,172",,,,
2018-11-09 11:11:59,,,"≥ £18,031 and < £24,057",,,,
2018-11-09 11:25:50,,,,,,,
2018-11-09 12:32:52,,,,,,,
2018-11-09 12:39:42,Between 66.000 and 76.999 EUR,,,,,,
2018-11-09 12:58:08,,,"≥ £32,277 and < £43,325",,,,
2018-11-09 14:10:55,Between 55.000 and 65.999 EUR,,,,,,
2018-11-09 15:03:59,,,,,,,
2018-11-09 15:24:29,,,,,,,
2018-11-09 15:43:36,Between 50.000 and 54.999 EUR,,,,,,
2018-11-09 15:48:52,Between 50.000 and 54.999 EUR,,,,,,
2018-11-09 15:56:50,Between 55.000 and 65.999 EUR,,,,,,
2018-11-09 16:32:15,Between 66.000 and 76.999 EUR,,,,,,
2018-11-09 16:39:47,,,,"From $50,000 to $69,999",,,
2018-11-09 16:41:24,,,,"From $90,000 to $109,999",,,
2018-11-09 16:49:35,,,,"From $50,000 to $69,999",,,
2018-11-09 16:53:39,,,,"From $110,000 to $129,999",,,
2018-11-09 16:58:01,,,,"From $90,000 to $109,999",,,
2018-11-09 16:59:44,Between 55.000 and 65.999 EUR,,,,,,
2018-11-09 17:03:33,Prefer not to say,,,,,,
2018-11-09 17:08:26,,,,"From $70,000 to $89,999",,,
2018-11-09 17:22:16,,,,"From $90,000 to $109,999",,,
2018-11-09 17:44:31,,,,"From $110,000 to $129,999",,,
2018-11-09 17:51:39,,,,"From $70,000 to $89,999",,,
2018-11-09 17:52:51,,,,"More than $150,000",,,
2018-11-09 17:58:11,,,,,,,
2018-11-09 18:03:43,,,,"From $110,000 to $129,999",,,
2018-11-09 18:22:31,,,,"From $70,000 to $89,999",,,
2018-11-09 18:44:44,,,,,,,
2018-11-09 19:21:48,,,,"From $30,000 to $49,999",,,
2018-11-09 19:25:19,,,,"From $90,000 to $109,999",,,
2018-11-09 19:28:14,,,,"From $110,000 to $129,999",,,
2018-11-09 19:29:07,,,,"From $70,000 to $89,999",,,
2018-11-09 19:31:07,,,,"From $90,000 to $109,999",,,
2018-11-09 19:39:46,,,,"From $30,000 to $49,999",,,
2018-11-09 19:42:02,,,,"From $110,000 to $129,999",,,
2018-11-09 19:48:26,,,,"From $50,000 to $69,999",,,
2018-11-09 20:01:13,,,,"From $50,000 to $69,999",,,
2018-11-09 20:04:14,,,,"From $110,000 to $129,999",,,
2018-11-09 20:09:56,,,,"More than $150,000",,,
2018-11-09 20:17:46,,,,"From $110,000 to $129,999",,,
2018-11-09 20:22:24,,,,"From $50,000 to $69,999",,,
2018-11-09 20:41:08,,,,"More than $150,000",,,
2018-11-09 21:17:49,,,,,,,
2018-11-09 21:35:32,,,,"From $50,000 to $69,999",,,
2018-11-09 22:11:13,,,,"From $30,000 to $49,999",,,
2018-11-09 23:45:45,,,,"From $90,000 to $109,999",,,
2018-11-10 00:46:30,,,,Prefer not to say,,,
2018-11-10 01:09:33,,,,"From $90,000 to $109,999",,,
2018-11-10 02:27:28,,,,"From $70,000 to $89,999",,,
2018-11-10 09:16:07,,,,,,,
2018-11-10 13:05:35,,,,,,,
2018-11-10 13:47:00,,,,,,,
2018-11-10 18:48:50,,,"≥ £58,172",,,,
2018-11-10 23:43:49,,,,"From $50,000 to $69,999",,,
2018-11-11 08:55:48,,,,,,"≥ NZD 85,000 and < NZD 105,000",
2018-11-11 20:40:31,,,"≥ £18,031 and < £24,057",,,,
2018-11-11 23:52:16,,,,"From $110,000 to $129,999",,,
2018-11-12 01:12:25,,,,"From $90,000 to $109,999",,,
2018-11-12 02:45:30,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-11-12 05:37:53,,,,"From $110,000 to $129,999",,,
2018-11-12 06:14:08,,,,"From $90,000 to $109,999",,,
2018-11-12 07:32:54,,,,"From $110,000 to $129,999",,,
2018-11-12 08:59:54,Between 44.000 and 49.999 EUR,,,,,,
2018-11-12 09:16:33,,,"≥ £32,277 and < £43,325",,,,
2018-11-12 11:56:50,,,,,,,
2018-11-12 12:50:30,Between 66.000 and 76.999 EUR,,,,,,
2018-11-12 17:01:12,,,,"From $90,000 to $109,999",,,
2018-11-12 17:48:08,,,,"From $90,000 to $109,999",,,
2018-11-12 19:14:17,,,,"From $110,000 to $129,999",,,
2018-11-12 19:15:21,,,,"From $90,000 to $109,999",,,
2018-11-12 20:27:44,,,,,,,
2018-11-12 20:35:05,,,,"From $110,000 to $129,999",,,
2018-11-13 00:48:06,,,,"More than $150,000",,,
2018-11-13 09:01:15,Between 50.000 and 54.999 EUR,,,,,,
2018-11-13 11:07:32,,,,,,,
2018-11-13 14:12:48,,,,"From $130,000 to $149,999",,,
2018-11-13 17:40:26,,,,"From $110,000 to $129,999",,,
2018-11-13 17:51:27,,,,"From $50,000 to $69,999",,,
2018-11-13 19:30:01,,,,"From $70,000 to $89,999",,,
2018-11-13 21:32:45,,,,"From $90,000 to $109,999",,,
2018-11-13 22:04:36,,,,Prefer not to say,,,
2018-11-13 23:05:30,,,,"From $70,000 to $89,999",,,
2018-11-13 23:45:41,,,,"From $90,000 to $109,999",,,
2018-11-14 09:10:29,,,,,,,
2018-11-14 11:53:13,,,,,,,
2018-11-14 12:05:24,,,,,,,
2018-11-14 14:25:34,Between 50.000 and 54.999 EUR,,,,,,
2018-11-14 15:05:48,,,,,,,
2018-11-14 18:16:44,,,,,,,
2018-11-14 18:21:19,,,,,,,
2018-11-14 19:01:10,,,,"From $70,000 to $89,999",,,
2018-11-14 19:31:39,,,,"From $30,000 to $49,999",,,
2018-11-14 19:48:59,,,,"From $70,000 to $89,999",,,
2018-11-14 19:51:49,,,,"From $130,000 to $149,999",,,
2018-11-14 20:20:31,,,,"From $70,000 to $89,999",,,
2018-11-14 22:21:41,,,,"More than $150,000",,,
2018-11-14 22:38:57,,,,"From $90,000 to $109,999",,,
2018-11-15 00:11:40,,,,,,,"≥ AUD 85,000 and < AUD 105,000"
2018-11-15 00:11:52,,,,,,,
2018-11-15 02:52:54,,,,"From $110,000 to $129,999",,,
2018-11-15 07:38:12,,,,"More than $150,000",,,
2018-11-15 12:16:51,,,"≥ £32,277 and < £43,325",,,,
2018-11-15 15:00:36,,,,,,,
2018-11-15 15:43:02,,,,,,,
2018-11-15 16:05:38,,,,"From $90,000 to $109,999",,,
2018-11-15 16:56:40,,,,"From $50,000 to $69,999",,,
2018-11-15 17:23:38,,,,,,,
2018-11-15 19:58:49,,,,,,,
2018-11-15 21:58:16,,,,"From $90,000 to $109,999",,,
2018-11-16 10:55:41,,,"≥ £32,277 and < £43,325",,,,
2018-11-16 16:39:23,,,,"From $110,000 to $129,999",,,
2018-11-16 20:14:47,,,,,,,
2018-11-16 23:32:07,,,,"From $50,000 to $69,999",,,
2018-11-17 13:26:42,,Between 44.000 and 49.999 EUR,,,,,
2018-11-17 16:30:27,,,,"From $90,000 to $109,999",,,
2018-11-18 00:57:05,,,,,,,
2018-11-18 10:26:34,,Between 55.000 and 65.999 EUR,,,,,
2018-11-19 08:43:46,,Between 33.000 and 38.499 EUR,,,,,
2018-11-19 10:45:58,,,"≥ £32,277 and < £43,325",,,,
2018-11-19 12:46:58,Between 50.000 and 54.999 EUR,,,,,,
2018-11-19 14:08:06,,Between 55.000 and 65.999 EUR,,,,,
2018-11-19 14:36:35,,,,,,,
2018-11-19 15:33:17,,,,"From $90,000 to $109,999",,,
2018-11-19 16:41:30,,Between 44.000 and 49.999 EUR,,,,,
2018-11-19 18:56:13,,Between 33.000 and 38.499 EUR,,,,,
