startdate._.Date started,socio4qde._.Please select the range of your salary,socio4qnl._.Please select the range of your salary,socio4quk._.Please select the range of your salary,socio4qus._.Please select the range of your salary,socio4qzaf._.Please select the range of your salary,socio4qnzl._.Please select the range of your salary,socio4qaus._.Please select the range of your salary
2018-09-12 15:44:45,,,,,,,
2018-09-12 16:01:04,,,,,,,
2018-09-12 17:36:31,,,,"From $90,000 to $109,999",,,
2018-09-13 01:14:04,Prefer not to say,,,,,,
2018-09-13 06:02:50,,,,,,,"≥ AUD 105,000 and < AUD 120,000"
2018-09-13 08:11:24,Between 55.000 and 65.999 EUR,,,,,,
2018-09-13 10:19:51,Between 44.000 and 49.999 EUR,,,,,,
2018-09-13 10:46:34,,,,,,,
2018-09-13 10:46:41,,,,,,,
2018-09-13 10:47:28,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 10:47:56,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 10:49:08,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 10:49:12,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 10:49:18,Between 77.000 and 109.999 EUR,,,,,,
2018-09-13 10:49:35,,,"≥ £24,057 and < £32,277",,,,
2018-09-13 10:49:58,,,,,,,
2018-09-13 10:50:09,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 10:50:12,,,"≥ £58,172",,,,
2018-09-13 10:50:20,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 10:50:29,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 10:51:37,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 10:51:51,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 10:52:13,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 10:52:15,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 10:52:31,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 10:53:31,,,,,,,
2018-09-13 10:53:35,,,,,,,
2018-09-13 10:53:38,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 10:54:34,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 10:54:46,,,,,,,
2018-09-13 10:54:56,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 10:55:00,,,,,,,
2018-09-13 10:55:15,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 10:56:08,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 10:56:49,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 10:56:55,Between 44.000 and 49.999 EUR,,,,,,
2018-09-13 11:00:24,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 11:00:27,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 11:03:08,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:03:43,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:04:49,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:05:02,,,"≥ £43,325 and < £58,172",,,,
2018-09-13 11:06:02,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:09:55,,,"≥ £32,277 and < £43,325",,,,
2018-09-13 11:12:21,,,"≥ £24,057 and < £32,277",,,,
